id,block,c1,c2,g1,g2,congruency
15,6,open,close,g1-1,g1-2,TRUE
15,7,save,save as,g9-1,g9-2,FALSE
15,8,format,alignment,g6-1,g6-2,FALSE
15,9,car,wheel,g2-1,g2-2,TRUE
16,1,color,blue,g6-1,g6-2,TRUE
16,2,format,alignment,g2-1,g2-2,FALSE
16,3,start,stop,g1-1,g1-2,FALSE
16,4,save,save as,g9-1,g9-2,FALSE
16,5,tools,spelling,g4-1,g4-2,TRUE
16,6,car,wheel,g8-1,g8-2,TRUE
16,7,open,open recent,g3-1,g3-2,TRUE
16,8,before,after,g5-1,g5-2,FALSE
16,9,open,close,g7-1,g7-2,FALSE
17,1,save,save as,g3-1,g3-2,TRUE
17,2,open,open recent,g5-1,g5-2,FALSE
17,3,before,after,g7-1,g7-2,TRUE
17,4,tools,spelling,g8-1,g8-2,TRUE
17,5,color,blue,g9-1,g9-2,FALSE
17,6,open,close,g4-1,g4-2,TRUE
17,7,format,alignment,g1-1,g1-2,TRUE
17,8,car,wheel,g2-1,g2-2,FALSE
17,9,start,stop,g6-1,g6-2,TRUE
18,1,tools,spelling,g8-1,g8-2,TRUE
18,2,color,blue,g9-1,g9-2,TRUE
18,3,save,save as,g3-1,g3-2,FALSE
18,4,open,open recent,g5-1,g5-2,TRUE
18,5,before,after,g7-1,g7-2,TRUE
18,6,start,stop,g6-1,g6-2,FALSE
18,7,open,close,g4-1,g4-2,FALSE
18,8,format,alignment,g1-1,g1-2,TRUE
18,9,car,wheel,g2-1,g2-2,FALSE
19,1,save,save as,g8-1,g8-2,TRUE
19,2,open,open recent,g9-1,g9-2,FALSE
19,3,format,alignment,g3-1,g3-2,TRUE
19,4,car,wheel,g5-1,g5-2,TRUE
19,5,before,after,g7-1,g7-2,FALSE
19,6,start,stop,g6-1,g6-2,TRUE
19,7,color,blue,g4-1,g4-2,FALSE
19,8,tools,spelling,g1-1,g1-2,FALSE
19,9,open,close,g2-1,g2-2,TRUE
20,1,format,alignment,g2-1,g2-2,TRUE
20,2,color,blue,g4-1,g4-2,FALSE
20,3,tools,spelling,g1-1,g1-2,TRUE
20,4,before,after,g7-1,g7-2,TRUE
20,5,start,stop,g6-1,g6-2,TRUE
20,6,save,save as,g5-1,g5-2,FALSE
20,7,open,close,g3-1,g3-2,TRUE
20,8,open,open recent,g9-1,g9-2,FALSE
20,9,car,wheel,g8-1,g8-2,FALSE
